X,Y,field_2,field_9,field_15
1.52109,42.50779,Andorra la Vella,AD,20430
54.39696,24.45118,Abu Dhabi,AE,1807000
69.17233,34.52813,Kabul,AF,4434550
-61.84329,17.12096,Saint John’s,AG,51737
-63.05783,18.21704,The Valley,AI,2035
19.81866,41.32744,Tirana,AL,418495
44.5126,40.17765,Yerevan,AM,1144700
13.23432,-8.83682,Luanda,AO,2776168
-58.37723,-34.61315,Buenos Aires,AR,2891082
-170.7025,-14.27806,Pago Pago,AS,11500
16.37208,48.20849,Vienna,AT,1691468
149.12807,-35.28346,Canberra,AU,367752
-70.02703,12.52398,Oranjestad,AW,29998
19.93481,60.09726,Mariehamn,AX,10682
49.89201,40.37767,Baku,AZ,2351300
18.35644,43.84864,Sarajevo,BA,696731
-59.62021,13.10732,Bridgetown,BB,98511
90.40744,23.7104,Dhaka,BD,10356500
4.34878,50.85045,Brussels,BE,1019022
-1.53388,12.36566,Ouagadougou,BF,2415266
23.32415,42.69751,Sofia,BG,1152556
50.58565,26.22787,Manama,BH,147074
29.92463,-3.42708,Gitega,BI,64904
2.60359,6.49646,Porto-Novo,BJ,264320
-62.84978,17.89618,Gustavia,BL,5988
-64.78303,32.2949,Hamilton,BM,902
114.94006,4.89035,Bandar Seri Begawan,BN,64409
-65.26274,-19.03332,Sucre,BO,224838
-68.26667,12.15,Kralendijk,BQ,10620
-47.92972,-15.77972,Brasília,BR,2207718
-77.34306,25.05823,Nassau,BS,227940
89.64191,27.46609,Thimphu,BT,98676
25.90859,-24.65451,Gaborone,BW,246325
27.56653,53.90019,Minsk,BY,1742124
-88.76401,17.25376,Belmopan,BZ,13381
-75.69812,45.41117,Ottawa,CA,1017449
96.82251,-12.15681,West Island,CC,120
15.31357,-4.32758,Kinshasa,CD,16000000
18.55496,4.36122,Bangui,CF,812407
15.28318,-4.26613,Brazzaville,CG,1982000
7.44744,46.94809,Bern,CH,121631
-5.27674,6.82055,Yamoussoukro,CI,275686
-159.77546,-21.2075,Avarua,CK,13373
-70.64827,-33.45694,Santiago,CL,4837295
11.51667,3.86667,Yaoundé,CM,1299369
116.39723,39.9075,Beijing,CN,18960744
-74.08175,4.60971,Bogotá,CO,7674366
-84.08489,9.93388,San José,CR,335007
-82.38304,23.13302,Havana,CU,2163824
-23.51254,14.93152,Praia,CV,137868
-68.88641,12.12246,Willemstad,CW,125000
105.67912,-10.42172,Flying Fish Cove,CX,500
33.35397,35.17284,Nicosia,CY,200452
14.42076,50.08804,Prague,CZ,1165581
13.41053,52.52437,Berlin,DE,3426354
43.14503,11.58901,Djibouti,DJ,626512
12.56553,55.67594,Copenhagen,DK,1153615
-61.38808,15.30174,Roseau,DM,16571
-69.89232,18.47186,Santo Domingo,DO,2201941
3.08746,36.73225,Algiers,DZ,2364230
-78.52495,-0.22985,Quito,EC,2781641
24.75353,59.43696,Tallinn,EE,394024
31.24967,30.06263,Cairo,EG,9606916
38.93184,15.33805,Asmara,ER,563930
-3.70256,40.4165,Madrid,ES,3255944
38.74689,9.02497,Addis Ababa,ET,3860000
24.93545,60.16952,Helsinki,FI,658864
178.42531,-18.13683,Suva,FJ,77366
-57.85701,-51.69382,Stanley,FK,2213
158.16109,6.92477,Palikir,FM,6942
-6.77164,62.00973,Tórshavn,FO,13200
2.3488,48.85341,Paris,FR,2138551
9.45356,0.39241,Libreville,GA,846090
-0.12574,51.50853,London,GB,8961989
-61.75226,12.05288,Saint George's,GD,7500
44.83412,41.69143,Tbilisi,GE,1049498
-52.33455,4.9381,Cayenne,GF,61550
-2.53527,49.45981,Saint Peter Port,GG,16488
-0.1969,5.55602,Accra,GH,1963264
-5.35257,36.14474,Gibraltar,GI,26544
-51.72157,64.18347,Nuuk,GL,14798
-16.57803,13.45274,Banjul,GM,37274
-13.67729,9.53795,Conakry,GN,1928389
-61.73214,15.99714,Basse-Terre,GP,11472
10.82361,1.5925,Ciudad de la Paz,GQ,2000
23.72784,37.98376,Athens,GR,664046
-36.5092,-54.28111,Grytviken,GS,2
-90.51327,14.64072,Guatemala City,GT,994938
144.74886,13.47567,Hagåtña,GU,1051
-15.59767,11.86357,Bissau,GW,439704
-58.15527,6.80448,Georgetown,GY,235017
114.17469,22.27832,Hong Kong,HK,7396076
-87.20681,14.0818,Tegucigalpa,HN,850848
15.97798,45.81444,Zagreb,HR,663592
-72.33881,18.54349,Port-au-Prince,HT,1234742
19.04045,47.49835,Budapest,HU,1741041
106.84513,-6.21462,Jakarta,ID,8540121
-6.24889,53.33306,Dublin,IE,1024027
-4.48333,54.15,Douglas,IM,26218
77.2148,28.62137,New Delhi,IN,317797
44.40088,33.34058,Baghdad,IQ,7216000
51.42151,35.69439,Tehran,IR,7153309
-21.89541,64.13548,Reykjavík,IS,118918
12.51133,41.89193,Rome,IT,2318895
-2.10491,49.18804,Saint Helier,JE,28000
-76.79358,17.99702,Kingston,JM,937700
35.94503,31.95522,Amman,JO,1275857
139.69171,35.6895,Tokyo,JP,9733276
36.81667,-1.28333,Nairobi,KE,4397073
74.59,42.87,Bishkek,KG,900000
104.91601,11.56245,Phnom Penh,KH,1573544
172.97696,1.3278,Tarawa,KI,40311
43.25506,-11.70216,Moroni,KM,74749
-62.72499,17.2955,Basseterre,KN,12920
125.75432,39.03385,Pyongyang,KP,3222000
126.9784,37.566,Seoul,KR,10349312
47.97429,29.367,Kuwait City,KW,60064
-81.37436,19.2866,George Town,KY,29370
71.44598,51.1801,Astana,KZ,1544142
102.6,17.96667,Vientiane,LA,840940
35.50157,33.89332,Beirut,LB,1916100
-61.00614,13.9957,Castries,LC,20000
9.52154,47.14151,Vaduz,LI,5197
79.84868,6.93548,Colombo,LK,648034
-10.7969,6.30054,Monrovia,LR,1542549
27.48333,-29.31667,Maseru,LS,359753
25.2798,54.68916,Vilnius,LT,542366
6.13268,49.60982,Luxembourg,LU,76684
24.10589,56.946,Riga,LV,742572
13.18733,32.88743,Tripoli,LY,1302947
-6.83255,34.01325,Rabat,MA,1655753
7.42145,43.73718,Monaco,MC,32965
28.85938,47.00902,Chisinau,MD,635994
19.26309,42.44124,Podgorica,ME,236852
-63.08302,18.06819,Marigot,MF,5700
47.53613,-18.91368,Antananarivo,MG,1349501
171.38027,7.08971,Majuro,MH,25400
21.43141,41.99646,Skopje,MK,474889
-7.97522,12.60915,Bamako,ML,4227569
96.12972,19.745,Nay Pyi Taw,MM,925000
106.88324,47.90771,Ulan Bator,MN,844818
113.54611,22.20056,Macau,MO,649335
145.7545,15.21233,Saipan,MP,48220
-61.07418,14.60365,Fort-de-France,MQ,89995
-15.9785,18.08581,Nouakchott,MR,1184530
-62.21292,16.70555,Plymouth,MS,0
14.5148,35.89968,Valletta,MT,6794
57.49889,-20.16194,Port Louis,MU,155226
73.50916,4.17521,Male,MV,103693
33.78725,-13.96692,Lilongwe,MW,1115815
-99.12766,19.42847,Mexico City,MX,12294193
101.68653,3.1412,Kuala Lumpur,MY,1453975
32.58322,-25.96553,Maputo,MZ,1254837
17.08323,-22.55941,Windhoek,NA,386219
166.44884,-22.27407,Nouméa,NC,93060
2.1098,13.51366,Niamey,NE,1323691
167.96628,-29.05459,Kingston,NF,880
7.49508,9.05785,Abuja,NG,2690000
-86.2504,12.13282,Managua,NI,973087
4.88969,52.37403,Amsterdam,NL,741636
10.74609,59.91273,Oslo,NO,1082575
85.3206,27.70169,Kathmandu,NP,1442271
166.9252,-0.55085,Yaren,NR,1100
-169.91957,-19.05294,Alofi,NU,624
174.77557,-41.28664,Wellington,NZ,381900
58.40778,23.58413,Muscat,OM,797000
-79.51973,8.9936,Panama City,PA,408168
-77.02824,-12.04318,Lima,PE,7737002
-149.56843,-17.5347,Papeete,PF,26357
